group,subgroup,suborder,subcat,xaxis,xorder,xlabel,chart,value,count,total,missing,x0,x1,x2,x3
Delaware,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,45,49,109,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Delaware,declrdfit,1,,actcat,5,28-32,Percent who had good I-M Fit for declared,49.3,35,71,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
Delaware,declrdfit,1,,actcat,6,33-36,Percent who had good I-M Fit for declared,33.3,5,15,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
District of Columbia,majmatch,1,,actcat,1,1-15,Percent who declared in major area,42.5,31,73,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,majmatch,1,,actcat,2,16-19,Percent who declared in major area,57.3,43,75,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,majmatch,1,,actcat,3,20-23,Percent who declared in major area,49,24,49,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,majmatch,1,,actcat,4,24-27,Percent who declared in major area,58.5,24,41,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,majmatch,1,,actcat,5,28-32,Percent who declared in major area,68.3,28,41,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,majmatch,1,,actcat,6,33-36,Percent who declared in major area,88.9,8,9,,out of,college students whose ACT Composite score is in the range of,declared a major in their planned major area.,
District of Columbia,declrdfit,1,,actcat,1,1-15,Percent who had good I-M Fit for declared,14.3,5,35,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
District of Columbia,declrdfit,1,,actcat,2,16-19,Percent who had good I-M Fit for declared,26.4,14,53,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
District of Columbia,declrdfit,1,,actcat,3,20-23,Percent who had good I-M Fit for declared,28.6,12,42,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
District of Columbia,declrdfit,1,,actcat,4,24-27,Percent who had good I-M Fit for declared,36,9,25,,out of,college students whose ACT Composite score is in the range of,declared a major that is a good fit with their measured interests.,
